sub,Auditory,CinguloOpercular/Action-mode,Default_Anterolateral,Default_Dorsolateral,Default_Parietal,Default_Retrosplenial,DorsalAttention,Frontoparietal,Language,MedialParietal,Premotor/DorsalAttentionII,Salience,SomatoCognitiveAction,Somatomotor_Face,Somatomotor_Foot,Somatomotor_Hand,Visual_Dorsal/VentralStream,Visual_Lateral,Visual_V1,Visual_V5
001,1.79,7.85,6.04,6.16,4.92,4.40,6.36,21.91,2.73,4.61,2.54,4.52,1.82,2.26,3.42,0.78,3.30,9.58,4.33,0.66
002,6.38,17.14,5.37,3.45,8.20,8.15,7.24,8.50,3.21,1.48,2.78,3.65,1.59,2.14,3.95,2.80,2.55,6.99,3.58,0.86
003,4.01,22.39,7.48,3.28,9.16,2.59,4.06,3.42,5.29,1.54,3.99,3.06,0.47,3.15,2.30,3.24,5.05,8.21,6.01,1.29
004,5.96,9.19,3.15,5.65,10.84,4.87,5.29,10.75,5.58,0.44,4.97,2.90,0.57,3.32,4.04,2.03,5.51,10.86,2.68,1.41
005,3.57,18.29,3.69,6.09,5.83,3.18,6.83,7.11,6.84,0.15,4.06,3.74,1.15,3.04,3.31,2.44,4.45,11.06,3.59,1.58
007,4.37,12.12,7.03,5.96,12.08,4.61,6.08,8.72,7.08,1.16,4.44,3.27,0.98,2.18,2.62,1.74,2.41,7.81,5.00,0.35
008,5.17,13.56,6.54,5.40,4.14,4.92,2.07,6.55,8.29,2.76,3.49,5.00,1.31,2.40,4.75,1.53,5.28,10.18,5.70,0.96
009,4.13,11.02,5.06,2.37,6.85,6.33,4.93,9.98,5.96,0.81,2.50,5.54,0.90,5.02,6.29,3.25,4.88,8.62,4.69,0.88
010,5.10,12.26,3.84,3.23,6.46,5.66,9.55,16.29,5.51,1.30,2.50,1.54,NA,3.51,3.36,2.20,4.70,6.93,4.11,1.95
011,3.32,14.97,5.72,3.72,9.09,5.92,8.26,8.36,5.60,2.50,2.20,3.04,0.78,3.67,3.96,1.40,3.32,7.71,5.50,0.95
012,2.18,15.07,2.37,2.96,6.82,5.70,8.63,14.82,6.15,1.24,3.94,2.75,0.43,3.20,4.68,2.64,4.25,7.06,3.70,1.40
013,5.43,18.75,3.46,5.68,5.16,3.32,9.92,11.07,4.74,1.26,2.24,3.00,1.56,2.21,2.68,2.65,5.17,6.01,5.55,0.14
014,3.81,10.77,6.29,3.57,7.74,10.60,7.61,8.38,8.27,1.74,1.85,3.34,0.11,3.23,3.58,3.11,3.92,6.88,4.32,0.89
017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
018,5.00,14.17,4.58,5.31,10.07,4.22,6.84,10.93,4.35,1.75,2.90,1.70,0.47,2.23,3.27,2.09,5.92,8.97,4.15,1.07
019,3.40,21.53,1.64,3.86,6.60,4.88,10.65,7.97,3.10,2.78,5.40,2.07,0.52,2.24,2.71,1.76,5.52,9.21,3.20,0.95
020,2.12,16.81,4.89,3.58,8.72,2.82,5.55,6.96,6.03,1.14,5.05,3.16,0.98,3.20,4.11,4.19,6.36,7.54,4.96,1.82
021,4.44,17.22,3.60,3.58,5.84,6.94,4.48,9.93,3.66,2.88,2.62,4.00,0.40,3.82,2.94,3.70,5.51,9.18,4.96,0.28
022,3.99,12.68,5.17,3.38,10.35,7.31,6.63,10.13,4.89,1.54,3.18,3.52,0.32,2.36,3.30,2.64,6.63,8.13,2.64,1.21
023,4.96,12.08,4.10,2.48,8.38,7.14,3.87,9.14,6.36,1.65,3.76,7.87,1.55,3.87,3.68,1.62,3.16,7.67,5.01,1.65
024,6.21,17.52,3.09,4.87,6.66,6.36,7.85,5.36,5.62,0.68,5.00,3.42,0.20,3.42,4.32,1.95,4.14,8.00,4.23,1.08
026,4.84,10.45,4.94,2.35,9.91,9.82,4.59,7.18,8.88,0.50,4.29,4.12,0.56,4.07,5.47,1.83,3.91,8.46,3.01,0.85
027,4.12,18.50,3.26,1.96,6.20,5.30,4.24,12.31,8.36,2.34,5.13,5.24,1.08,1.28,2.03,3.53,2.56,7.52,4.34,0.70
029,2.78,19.41,3.69,2.11,10.54,5.08,9.60,9.10,4.54,0.98,4.43,2.94,1.11,3.13,2.40,2.27,3.44,6.61,4.57,1.30
030,2.88,22.77,2.90,1.85,4.73,7.66,11.57,9.23,5.15,2.07,2.58,2.35,0.73,3.27,3.04,1.43,5.01,6.79,3.67,0.30
